song,project_id,provider,model,calls,errors,cost_usd,first_call_at,last_call_at
Om Gam Ganapathiyenamaha,58b80317-b5c9-4014-8436-5f66e132775e,segmind,nano-banana-2,54,26,0.99,2026-05-11T08:52:51.934812+00:00,2026-05-13T05:56:04.843524+00:00
Slokam,8844869c-fca1-4aeb-8500-b57164472a55,segmind,veo-3.0-fast-generate-001,1,0,0.8,2026-04-15T14:13:31+00:00,2026-04-15T14:13:31+00:00
Slokam,8844869c-fca1-4aeb-8500-b57164472a55,vertex,vertex:veo-3.1-fast-generate-001,1,0,0.8,2026-04-24T08:23:10.481439+00:00,2026-04-24T08:23:10.481439+00:00
Ekam Brahmmhai Vah Adhvaithiyam,6a885d22-31b9-4a04-ba1a-3971b802e7b0,segmind,nano-banana-2,25,0,0.76,2026-05-11T11:32:37.880358+00:00,2026-05-11T12:25:33.657852+00:00
Sathamgathaye Sanathanaya,67e14b19-5e5c-4c87-bbc7-7d2512d67e0b,segmind,nano-banana-2,19,0,0.59,2026-05-08T07:49:41.569125+00:00,2026-05-12T12:29:14.549779+00:00
Devi Sooktam,b9a3500d-b977-4803-90f1-da8336f08a01,segmind,nano-banana-2,8,0,0.24,2026-06-06T06:56:40.21757+00:00,2026-06-06T07:05:45.563348+00:00
Rathri Sooktam,56b06e18-5a99-4827-b3e6-45d2d4e45af9,segmind,nano-banana-2,7,0,0.21,2026-06-06T07:09:04.421313+00:00,2026-06-06T08:28:59.859476+00:00
Ghanapatham,7fb4fabd-4194-409b-b2ee-451bb2bccddc,segmind,nano-banana-2,6,0,0.21,2026-06-06T09:59:57.496542+00:00,2026-06-06T10:06:32.471581+00:00
Vinayaka Vinayaka,7b8cf284-25f9-4270-a7cc-4f5df6191058,segmind,nano-banana-2,5,0,0.15,2026-06-06T07:03:42.427882+00:00,2026-06-06T07:15:06.974317+00:00
Bilvashtakam,3ce46c10-10a1-4c41-ac1d-ca23e2cb8db9,segmind,nano-banana-2,3,0,0.09,2026-06-06T17:28:20.017349+00:00,2026-06-06T17:29:26.958479+00:00
Sarvahristham,b925df9f-219a-4a99-ad1f-2916c6171114,segmind,nano-banana-2,3,1,0.06,2026-05-12T14:07:18.818407+00:00,2026-05-13T06:22:50.238633+00:00
Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,segmind,veo-3.1,64,64,0,2026-04-15T10:59:29+00:00,2026-04-16T11:23:30.166096+00:00
Slokam,8844869c-fca1-4aeb-8500-b57164472a55,segmind,veo-3.1,16,16,0,2026-04-15T09:12:38+00:00,2026-04-18T05:14:22.167014+00:00
Mantrapushpam,eedbe6d6-bae0-4e41-bb30-30f5d1e6c7c5,segmind,seedance-2.0-fast,16,16,0,2026-06-02T07:26:22.436277+00:00,2026-06-03T05:09:45.480484+00:00
Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,segmind,veo-3.0-fast,14,14,0,2026-04-16T11:24:42.554025+00:00,2026-04-18T08:28:04.350578+00:00
Shuklam Bharadaram Vishnum (Ganapathi Shloka),a2585320-ef27-47be-84b9-7b0024375907,segmind,veo-3.1,5,5,0,2026-04-24T06:27:43.659404+00:00,2026-04-24T06:53:00.268962+00:00
Om Gam Ganapathiyenamaha,58b80317-b5c9-4014-8436-5f66e132775e,segmind,veo-3.1,4,4,0,2026-04-21T11:27:58.081498+00:00,2026-04-21T11:28:08.626119+00:00
Ganesha Vandanam - Sloka,85726ede-3fb4-4f21-b7e0-343647076dae,segmind,seedance-2.0,3,3,0,2026-04-18T08:33:59.179841+00:00,2026-04-18T08:34:36.034044+00:00
Sri Mahaganapathi Prarthasnmarana Stotram,3da31ede-1818-4839-a8ae-f9d07fc1939b,segmind,veo-3.1,2,2,0,2026-04-21T08:51:18.36954+00:00,2026-04-21T09:04:11.376147+00:00
Om Kaara Padma Brundaya,67e97fb6-d8c7-4ffa-8a21-1fb7dbe44048,segmind,veo-3.1,2,2,0,2026-05-02T08:45:32.859166+00:00,2026-05-02T08:58:20.501202+00:00
Mantrapushpam,eedbe6d6-bae0-4e41-bb30-30f5d1e6c7c5,segmind,seedance-2.0,1,1,0,2026-06-02T14:39:44.366367+00:00,2026-06-02T14:39:44.366367+00:00
